Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink	Enrich_ratio	Cluster	Cluster_size	Cluster_P-Value_median
Signal Transduction	Reactome	R-HSA-162582	55	2689	5.03329076353e-07	4.45217446628e-05	SCAI|NOP9|RYK|BUB1B|LGR5|WLS|TIP|SNAI2|LATS1|GPR54|CCNT2|PKR2|NCOA1|MET|FMNL2|FMNL3|ESRP1|MIB2|CLIP3|AGRIN|JAG2|REEP4|BCDO1|PDE2A|LRP12|LAMA3|SRF|CENPI|BIRC3|PSME4|TRRAP|DLL1|LDLR|NR2E1|PLB1|HMHA1|LRP6|LAMC1|OBSCN|LAMA|CASP2|ZNRF3|VEGFD|QRFPR|CCKAR|H4|DRD1|ADRB1|PLC|TIE2|HLF|H2B|H2A|BCAP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582	0.0204537002603198	NA	NA	0.0155104646138
Metabolism	Reactome	R-HSA-1430728	46	2075	5.78709493468e-07	4.6923694762e-05	COX5A|NTCP2|LRP12|G6PC2|FBP1|DPEP1|MIGA2|SUMF2|COASY|NCOA1|NCAN|COX3|BACH1|ADK2|FAT|CYC|AGRIN|MED13|ATPO|EXT2|SERA|PKR2|BCDO1|ST1E1|PLPP3|UMPS|SHPK|ENPP6|PSME4|TPMT|LDLR|GGT1|ECSIT|PLB1|DDC|CHDH|HGD|ROR1|GSTO1|ARSB|GCSP|ACAD8|ARSJ|PLC|FUT2|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728	0.0221686746987952	2	2	4.146073556595e-07
ECM proteoglycans	Reactome	R-HSA-3000178	8	76	1.92989004327e-06	0.000144444847085	LAMA|NCAN|LRP4|COMP|AGRIN|LAMA3|PLC|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000178	0.105263157894737	5	40	0.001675104517425
Pathways in cancer	KEGG PATHWAY	hsa05200	19	530	3.03023381093e-06	0.000210601249859	TFG|COCA1|LAMA|TRAF4|VEGFD|SPI1|LAMA3|MSH3|BIRC3|CYC|DLL1|NCOA1|GSTO1|JAG2|HLF|LAMC1|LRP6|TRAF3|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:2034%09red/hsa:330%09red/hsa:9618%09red/hsa:54205%09red/hsa:9446%09red/hsa:3915%09red/hsa:4233%09red/hsa:3714%09red/hsa:2277%09red/hsa:4437%09red/hsa:4040%09red/hsa:10342%09red/hsa:8648%09red/hsa:6688%09red/hsa:4436%09red/hsa:284217%09red/hsa:28514%09red/hsa:7187%09red/hsa:3909%09red	0.0358490566037736	5	40	0.001675104517425
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	15	370	8.34354158964e-06	0.000534836064933	DTX3L|DZIP3|HERC2|UBE3C|PSME4|MIB2|FBXL7|LTN1|UBA6|DCAF1|TLR1|FAT|TLR4|CTSL2|FBX11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169	0.0405405405405405	13	33	0.0106824265389
Retinoid metabolism and transport	Reactome	R-HSA-975634	6	43	8.79483765563e-06	0.000534836064933	LRP12|LDLR|AGRIN|PLC|PLB1|BCDO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975634	0.13953488372093	3	4	0.0003415056867333
Metabolism of fat-soluble vitamins	Reactome	R-HSA-6806667	6	47	1.39658188376e-05	0.000799337748767	LRP12|LDLR|AGRIN|PLC|PLB1|BCDO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806667	0.127659574468085	3	4	0.0003415056867333
ECM-receptor interaction	KEGG PATHWAY	hsa04512	7	86	4.0040842524e-05	0.00216442998755	LAMA|COMP|FAT|AGRIN|LAMA3|PLC|LAMC1	http://www.genome.jp/kegg-bin/show_pathway?hsa04512/hsa:1311%09red/hsa:948%09red/hsa:3339%09red/hsa:3915%09red/hsa:284217%09red/hsa:375790%09red/hsa:3909%09red	0.0813953488372093	5	40	0.001675104517425
Small cell lung cancer	KEGG PATHWAY	hsa05222	7	93	6.37743278271e-05	0.00326591689346	LAMA3|TRAF4|BIRC3|CYC|LAMA|LAMC1|TRAF3	http://www.genome.jp/kegg-bin/show_pathway?hsa05222/hsa:9618%09red/hsa:54205%09red/hsa:3915%09red/hsa:284217%09red/hsa:330%09red/hsa:7187%09red/hsa:3909%09red	0.0752688172043011	5	40	0.001675104517425
G2/M DNA damage checkpoint	Reactome	R-HSA-69473	7	95	7.23414532292e-05	0.0035194116996	WRN|BACH1|MDC1|TIP|HERC2|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69473	0.0736842105263158	4	32	0.0005077985770585
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	7	98	8.69338100959e-05	0.00402793320111	WRN|BACH1|MDC1|TIP|HERC2|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607	0.0714285714285714	4	32	0.0005077985770585
Immune System	Reactome	R-HSA-168256	40	2096	9.13478979111e-05	0.00404006839398	DTX3L|DSRAD|BIRC3|PRKDC|HMHA1|FGL2|MIB2|DCTN1|NEP|TBK1|UBE3C|CHIT1|FAT|LTN1|NPC2|TRAF3|PSME4|UBA6|HERC2|ECSIT|GILT|ROR1|MGA|GSTO1|CASP2|DZIP3|ARSB|CSH1|FBXL7|FBX11|MET|DCAF1|TLR1|TLR4|CTSL2|TIE2|TRIM3|TRIM2|ALS|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256	0.0190839694656489	13	33	0.0106824265389
Cell Cycle	Reactome	R-HSA-1640170	18	629	9.56605553448e-05	0.00404685740654	NEK7|GCP6|CENPI|SSNA1|WRN|H2A|PSME4|MDC1|TIP|FBXL7|NEK9|CEP63|HERC2|FBX5|BUB1B|TOP3A|BACH1|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170	0.0286168521462639	4	32	0.0005077985770585
HATs acetylate histones	Reactome	R-HSA-3214847	8	142	0.000132272625062	0.00520816375267	NCOA1|MSL2|TIP|SGF29|BRPF1|TRRAP|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214847	0.0563380281690141	18	55	0.0143070502187
Chromatin organization	Reactome	R-HSA-4839726	11	273	0.00013916984334	0.00520816375267	KMT2A|NCOA1|MSL2|TIP|TRRAP|BRPF1|SGF29|NSD1|SETD2|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726	0.0402930402930403	18	55	0.0143070502187
Chromatin modifying enzymes	Reactome	R-HSA-3247509	11	273	0.00013916984334	0.00520816375267	KMT2A|NCOA1|MSL2|TIP|TRRAP|BRPF1|SGF29|NSD1|SETD2|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509	0.0402930402930403	18	55	0.0143070502187
Diseases associated with the TLR signaling cascade	Reactome	R-HSA-5602358	4	24	0.000159862823868	0.0055552331294	TRAF3|TLR1|FAT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602358	0.166666666666667	13	33	0.0106824265389
Diseases of Immune System	Reactome	R-HSA-5260271	4	24	0.000159862823868	0.0055552331294	TRAF3|TLR1|FAT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5260271	0.166666666666667	13	33	0.0106824265389
Toxoplasmosis	KEGG PATHWAY	hsa05145	7	113	0.00020024016792	0.0067184028754	LAMA3|BIRC3|CYC|LDLR|LAMA|TLR4|LAMC1	http://www.genome.jp/kegg-bin/show_pathway?hsa05145/hsa:54205%09red/hsa:3949%09red/hsa:3915%09red/hsa:7099%09red/hsa:284217%09red/hsa:330%09red/hsa:3909%09red	0.0619469026548673	5	40	0.001675104517425
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	Reactome	R-HSA-5693554	4	26	0.000210657370602	0.00683232071985	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693554	0.153846153846154	4	32	0.0005077985770585
Toll-like Receptor Cascades	Reactome	R-HSA-168898	8	154	0.000224202941564	0.00703707942394	TRAF3|TBK1|BIRC3|FAT|TLR1|ECSIT|TLR4|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168898	0.051948051948052	13	33	0.0106824265389
MyD88 deficiency (TLR2/4)	Reactome	R-HSA-5602498	3	10	0.000255057452745	0.00759138696733	TLR1|FAT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602498	0.3	13	33	0.0106824265389
Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	11	294	0.000257467389437	0.00759138696733	CRTC1|NCOA1|IFT80|SSNA1|CEP63|CYC|TECT3|BBS12|ATPO|GBF1|NRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1852241	0.0374149659863946	9	8	0.0068367933782
Regulation of TP53 Activity	Reactome	R-HSA-5633007	8	159	0.000275473247078	0.00788339615903	DAXX|TAF5|TAF2|WRN|BACH1|TIP|BRPF1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633007	0.050314465408805	4	32	0.0005077985770585
Extracellular matrix organization	Reactome	R-HSA-1474244	11	298	0.00028765042816	0.00799668190286	LAMA|NCAN|LRP4|COMP|LAMA3|MMP19|AGRIN|LTBP4|PLC|CTSL2|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244	0.0369127516778524	5	40	0.001675104517425
IRAK4 deficiency (TLR2/4)	Reactome	R-HSA-5603041	3	11	0.000322240390267	0.00835796301401	TLR1|FAT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603041	0.272727272727273	13	33	0.0106824265389
Digestion of dietary carbohydrate	Reactome	R-HSA-189085	3	11	0.000322240390267	0.00835796301401	TREA|CHIT1|MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-189085	0.272727272727273	6	7	0.0045764905036
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	12	354	0.000326415821719	0.00835796301401	LAMA|CSH1|COMP|G6PC2|VEGFD|LAMA3|TLR4|TIE2|BAP1|LAMC1|BCAP|MET	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:118788%09red/hsa:1311%09red/hsa:7099%09red/hsa:3915%09red/hsa:4233%09red/hsa:2277%09red/hsa:7010%09red/hsa:1442%09red/hsa:284217%09red/hsa:57818%09red/hsa:9223%09red/hsa:3909%09red	0.0338983050847458	5	40	0.001675104517425
MET activates PTK2 signaling	Reactome	R-HSA-8874081	4	30	0.000345541332665	0.00840529291707	MET|LAMA3|LAMA|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8874081	0.133333333333333	5	40	0.001675104517425
Laminin interactions	Reactome	R-HSA-3000157	4	30	0.000345541332665	0.00840529291707	LAMA3|LAMA|PLC|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000157	0.133333333333333	5	40	0.001675104517425
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	8	166	0.000362985943852	0.00853417998289	WRN|BACH1|MDC1|TIP|PRKDC|HERC2|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532	0.0481927710843374	4	32	0.0005077985770585
Antigen processing: Ubiquitination & Proteasome degradation	Reactome	R-HSA-983168	11	308	0.00037641515611	0.00853417998289	DTX3L|DZIP3|UBE3C|PSME4|FBXL7|LTN1|UBA6|DCAF1|HERC2|MIB2|FBX11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983168	0.0357142857142857	13	33	0.0106824265389
G2/M Checkpoints	Reactome	R-HSA-69481	8	167	0.000377152866664	0.00853417998289	WRN|PSME4|MDC1|TIP|HERC2|TOP3A|BACH1|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69481	0.0479041916167665	4	32	0.0005077985770585
Non-integrin membrane-ECM interactions	Reactome	R-HSA-3000171	5	58	0.000404889232399	0.00888184036273	LAMA3|AGRIN|LAMA|PLC|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000171	0.0862068965517241	5	40	0.001675104517425
Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	7	128	0.000410773706395	0.00888184036273	TRAF3|TBK1|BIRC3|FAT|TLR1|ECSIT|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166016	0.0546875	13	33	0.0106824265389
SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	8	170	0.00042237594062	0.00893416935268	DAXX|NCOA1|WRN|MDC1|TOP1|HERC2|FOXL2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108232	0.0470588235294118	4	32	0.0005077985770585
Regulation of TP53 Activity through Phosphorylation	Reactome	R-HSA-6804756	6	92	0.000440992146137	0.00912947570619	TAF5|TAF2|WRN|BACH1|TIP|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804756	0.0652173913043478	4	32	0.0005077985770585
Resolution of D-loop Structures through Holliday Junction Intermediates	Reactome	R-HSA-5693568	4	33	0.000480732252629	0.00952660227136	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693568	0.121212121212121	4	32	0.0005077985770585
The activation of arylsulfatases	Reactome	R-HSA-1663150	3	13	0.000488522418893	0.00952660227136	SUMF2|ARSJ|ARSB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1663150	0.230769230769231	12	4	0.010117401830795
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	Reactome	R-HSA-5693567	7	132	0.000489547907059	0.00952660227136	WRN|BACH1|MDC1|TIP|HERC2|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693567	0.053030303030303	4	32	0.0005077985770585
SUMOylation	Reactome	R-HSA-2990846	8	176	0.000526049247058	0.0099755888865	DAXX|NCOA1|WRN|MDC1|TOP1|HERC2|FOXL2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2990846	0.0454545454545455	4	32	0.0005077985770585
Resolution of D-Loop Structures	Reactome	R-HSA-5693537	4	34	0.000533124997017	0.0099755888865	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693537	0.117647058823529	4	32	0.0005077985770585
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	Reactome	R-HSA-3656253	3	14	0.000588866250462	0.0106104974389	AGRIN|PLC|EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656253	0.214285714285714	5	40	0.001675104517425
Defective EXT2 causes exostoses 2	Reactome	R-HSA-3656237	3	14	0.000588866250462	0.0106104974389	AGRIN|PLC|EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656237	0.214285714285714	5	40	0.001675104517425
Homology Directed Repair	Reactome	R-HSA-5693538	7	138	0.000629811965158	0.0111053312461	WRN|BACH1|MDC1|TIP|HERC2|TOP3A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693538	0.0507246376811594	4	32	0.0005077985770585
Signaling by WNT	Reactome	R-HSA-195721	11	329	0.000639155755173	0.0111053312461	LGR5|LRP6|RYK|ZNRF3|PSME4|WLS|TIP|TRRAP|H2B|H2A|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721	0.033434650455927	18	55	0.0143070502187
Visual phototransduction	Reactome	R-HSA-2187338	6	100	0.000669045554629	0.0112969168907	LRP12|LDLR|AGRIN|PLC|PLB1|BCDO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2187338	0.06	3	4	0.0003415056867333
Constitutive Signaling by NOTCH1 HD Domain Mutants	Reactome	R-HSA-2691232	3	15	0.000701472667774	0.0112969168907	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691232	0.2	18	55	0.0143070502187
Signaling by NOTCH1 HD Domain Mutants in Cancer	Reactome	R-HSA-2691230	3	15	0.000701472667774	0.0112969168907	JAG2|DLL1|MIB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691230	0.2	18	55	0.0143070502187
HDR through Single Strand Annealing (SSA)	Reactome	R-HSA-5685938	4	37	0.000714554403462	0.0112969168907	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685938	0.108108108108108	4	32	0.0005077985770585
Adaptive Immune System	Reactome	R-HSA-1280218	18	748	0.000718267066964	0.0112969168907	DTX3L|MIB2|DZIP3|FBX11|UBE3C|PSME4|TLR1|FBXL7|LTN1|UBA6|DCAF1|HERC2|FAT|TLR4|CTSL2|GILT|DCTN1|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218	0.0240641711229947	13	33	0.0106824265389
TCF dependent signaling in response to WNT	Reactome	R-HSA-201681	9	232	0.000719844652851	0.0112969168907	LGR5|LRP6|RYK|ZNRF3|PSME4|TIP|TRRAP|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201681	0.0387931034482759	18	55	0.0143070502187
Metabolism of vitamins and cofactors	Reactome	R-HSA-196854	8	186	0.000743913109965	0.0114893246983	LRP12|GSTO1|LDLR|AGRIN|PLC|PLB1|COASY|BCDO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196854	0.043010752688172	3	4	0.0003415056867333
Diseases of glycosylation	Reactome	R-HSA-3781865	7	143	0.000769545660951	0.0116994988767	DOLK|NCAN|EXT2|ALG2|AGRIN|PLC|DPM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3781865	0.048951048951049	5	40	0.001675104517425
Nonhomologous End-Joining (NHEJ)	Reactome	R-HSA-5693571	5	69	0.000849254862185	0.0125917734575	H2B|HERC2|TIP|MDC1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693571	0.072463768115942	4	32	0.0005077985770585
Presynaptic phase of homologous DNA pairing and strand exchange	Reactome	R-HSA-5693616	4	39	0.000857348118946	0.0125917734575	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693616	0.102564102564103	4	32	0.0005077985770585
Cell Cycle Checkpoints	Reactome	R-HSA-69620	10	289	0.000867059426156	0.0125917734575	CENPI|BUB1B|WRN|PSME4|MDC1|TIP|HERC2|TOP3A|BACH1|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69620	0.0346020761245675	4	32	0.0005077985770585
MET promotes cell motility	Reactome	R-HSA-8875878	4	40	0.000935788627242	0.013390034328	MET|LAMA3|LAMA|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875878	0.1	5	40	0.001675104517425
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	Reactome	R-HSA-936964	3	17	0.00096573024836	0.0136181961109	TRAF3|TLR4|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936964	0.176470588235294	13	33	0.0106824265389
Diseases associated with glycosaminoglycan metabolism	Reactome	R-HSA-3560782	4	41	0.00101914372376	0.0141660977603	PLC|AGRIN|NCAN|EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3560782	0.0975609756097561	5	40	0.001675104517425
Platinum drug resistance	KEGG PATHWAY	hsa01524	5	73	0.00107775699558	0.0147698247423	CYC|COCA1|MSH3|BIRC3|GSTO1	http://www.genome.jp/kegg-bin/show_pathway?hsa01524/hsa:4437%09red/hsa:54205%09red/hsa:330%09red/hsa:9446%09red/hsa:4436%09red	0.0684931506849315	17	7	0.0120282345773
Homologous DNA Pairing and Strand Exchange	Reactome	R-HSA-5693579	4	42	0.00110757750874	0.0149676793889	WRN|TIP|BACH1|TOP3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693579	0.0952380952380952	4	32	0.0005077985770585
RNA polymerase II transcribes snRNA genes	Reactome	R-HSA-6807505	5	74	0.00114137139053	0.0152130734655	ICE2|TAF5|CCNT2|INT1|TAF8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807505	0.0675675675675676	NA	NA	0.0155104646138
