Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink	Enrich_ratio	Cluster	Cluster_size	Cluster_P-Value_median
RNA Polymerase II Transcription	Reactome	R-HSA-73857	11	1316	0.00166437546888	0.0630338342249	ATX3|U2AF1|AMID|MDC1|TIP|TAF8|ICE2|NR2E1|CTSL2|ROR1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857	0.00835866261398176	5	12	0.0208042791919
Aflatoxin activation and detoxification	Reactome	R-HSA-5423646	2	19	0.00168464590356	0.0630338342249	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5423646	0.105263157894737	3	5	0.0136154470189
Synthesis of Leukotrienes (LT) and Eoxins (EX)	Reactome	R-HSA-2142691	2	21	0.00202193627524	0.0698345682758	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142691	0.0952380952380952	3	5	0.0136154470189
MicroRNA (miRNA) biogenesis	Reactome	R-HSA-203927	2	24	0.00258266502769	0.0828297569594	XPO5|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-203927	0.0833333333333333	9	18	0.0263597148598
DNA Repair	Reactome	R-HSA-73894	5	331	0.00302603023949	0.0905791718355	NEIL1|MDC1|NFRKB|TIP|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894	0.0151057401812689	5	12	0.0208042791919
ESR-mediated signaling	Reactome	R-HSA-8939211	4	221	0.00424892734212	0.119235523538	TIP|AGO2|SRF|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939211	0.0180995475113122	9	18	0.0263597148598
Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	3	128	0.0066222026594	0.163146679324	TLR6|ECSIT|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166016	0.0234375	10	34	0.0318988940625
Nuclear Receptor transcription pathway	Reactome	R-HSA-383280	2	40	0.00663871193814	0.163146679324	NR2E1|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-383280	0.05	NA	NA	0.0229403744054
Purine metabolism	KEGG PATHWAY	hsa00230	3	130	0.00690375703152	0.163146679324	MESH1|ADK2|ALLC	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:374659%09red/hsa:55821%09red/hsa:204%09red	0.0230769230769231	NA	NA	0.0229403744054
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	4	264	0.00781553643595	0.175458792987	TIP|AGO2|SRF|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931	0.0151515151515152	9	18	0.0263597148598
HATs acetylate histones	Reactome	R-HSA-3214847	3	142	0.00874195321038	0.183040933225	TIP|TRRAP|SGF29	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214847	0.0211267605633803	9	18	0.0263597148598
Metabolic pathways	KEGG PATHWAY	hsa01100	10	1433	0.00926136070061	0.183040933225	NPL|MGA|ALLC|EXT2|GCSP|ADK2|MESH1|GGT1|FUT2|HGD	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:2678%09red/hsa:80896%09red/hsa:8972%09red/hsa:55821%09red/hsa:2132%09red/hsa:2524%09red/hsa:374659%09red/hsa:2731%09red/hsa:3081%09red/hsa:204%09red	0.00697836706210747	2	2	0.013594634091855
MAPK signaling pathway	KEGG PATHWAY	hsa04010	4	295	0.0113411119263	0.183040933225	TIE2|SRF|ECSIT|HSPB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:7010%09red/hsa:51295%09red/hsa:3315%09red/hsa:6722%09red	0.0135593220338983	9	18	0.0263597148598
Innate Immune System	Reactome	R-HSA-168249	8	1043	0.0115677182508	0.183040933225	MGA|TBK1|PRKDC|TLR6|ECSIT|CTSL2|HMHA1|NEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249	0.00767018216682646	10	34	0.0318988940625
Antigen processing: Ubiquitination & Proteasome degradation	Reactome	R-HSA-983168	4	308	0.0130804740878	0.183040933225	DTX3L|UBE3C|DCAF1|FBX11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983168	0.012987012987013	10	34	0.0318988940625
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	3	166	0.0132072933943	0.183040933225	MDC1|TIP|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532	0.0180722891566265	5	12	0.0208042791919
Arachidonic acid metabolism	Reactome	R-HSA-2142753	2	59	0.0136154470189	0.183040933225	GGT1|DPEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142753	0.0338983050847458	3	5	0.0136154470189
Assembly of collagen fibrils and other multimeric structures	Reactome	R-HSA-2022090	2	60	0.0140429520506	0.183040933225	LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022090	0.0333333333333333	10	34	0.0318988940625
SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	3	170	0.0140563371387	0.183040933225	MDC1|FOXL2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108232	0.0176470588235294	4	2	0.01472162918985
Cytosolic sensors of pathogen-associated DNA 	Reactome	R-HSA-1834949	2	62	0.0149152352559	0.183040933225	TBK1|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834949	0.032258064516129	10	34	0.0318988940625
SUMOylation	Reactome	R-HSA-2990846	3	176	0.015386921241	0.183040933225	MDC1|FOXL2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2990846	0.0170454545454545	4	2	0.01472162918985
Signaling by WNT	Reactome	R-HSA-195721	4	329	0.0162339202204	0.183040933225	TIP|RYK|TRRAP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721	0.0121580547112462	9	18	0.0263597148598
Dopamine receptors	Reactome	R-HSA-390651	1	5	0.0172546602221	0.183040933225	DRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390651	0.2	NA	NA	0.0229403744054
Tyrosine catabolism	Reactome	R-HSA-8963684	1	5	0.0172546602221	0.183040933225	HGD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963684	0.2	7	2	0.02573441211895
IRF3 mediated activation of type 1 IFN	Reactome	R-HSA-1606341	1	5	0.0172546602221	0.183040933225	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606341	0.2	10	34	0.0318988940625
Extrinsic Pathway of Fibrin Clot Formation	Reactome	R-HSA-140834	1	5	0.0172546602221	0.183040933225	TFPI1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140834	0.2	NA	NA	0.0229403744054
PTK6 Expression	Reactome	R-HSA-8849473	1	5	0.0172546602221	0.183040933225	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849473	0.2	8	2	0.02573441211895
VLDL assembly	Reactome	R-HSA-8866423	1	5	0.0172546602221	0.183040933225	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866423	0.2	6	2	0.0229240703853
Metabolism	Reactome	R-HSA-1430728	12	2075	0.0179279074831	0.183040933225	SUMF2|LRP12|EXT2|GCSP|ENPP6|ADK2|GGT1|ECSIT|HGD|DPEP1|ROR1|FUT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728	0.00578313253012048	2	2	0.013594634091855
p53 signaling pathway	KEGG PATHWAY	hsa04115	2	72	0.0196127645151	0.183040933225	EI24|AMID	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:84883%09red/hsa:9538%09red	0.0277777777777778	NA	NA	0.0229403744054
Sensing of DNA Double Strand Breaks	Reactome	R-HSA-5693548	1	6	0.020101604945	0.183040933225	TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693548	0.166666666666667	5	12	0.0208042791919
RNA polymerase II transcribes snRNA genes	Reactome	R-HSA-6807505	2	74	0.0206175121246	0.183040933225	ICE2|TAF8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807505	0.027027027027027	NA	NA	0.0229403744054
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	4	359	0.0215069534388	0.183040933225	AMID|MDC1|TIP|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989	0.011142061281337	5	12	0.0208042791919
Extra-nuclear estrogen signaling	Reactome	R-HSA-9009391	2	76	0.0216433582279	0.183040933225	SRF|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9009391	0.0263157894736842	9	18	0.0263597148598
ECM proteoglycans	Reactome	R-HSA-3000178	2	76	0.0216433582279	0.183040933225	COMP|LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000178	0.0263157894736842	10	34	0.0318988940625
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	R-HSA-5693565	2	76	0.0216433582279	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693565	0.0263157894736842	5	12	0.0208042791919
DNA Double Strand Break Response	Reactome	R-HSA-5693606	2	77	0.0221641077573	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693606	0.025974025974026	5	12	0.0208042791919
Adaptive Immune System	Reactome	R-HSA-1280218	6	748	0.022710420435	0.183040933225	DTX3L|UBE3C|FBX11|DCAF1|TLR6|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218	0.00802139037433155	10	34	0.0318988940625
Glycerophospholipid catabolism	Reactome	R-HSA-6814848	1	7	0.0229403744054	0.183040933225	ENPP6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6814848	0.142857142857143	NA	NA	0.0229403744054
Activation of NIMA Kinases NEK9, NEK6, NEK7	Reactome	R-HSA-2980767	1	7	0.0229403744054	0.183040933225	NEK7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980767	0.142857142857143	NA	NA	0.0229403744054
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	Reactome	R-HSA-5649702	1	7	0.0229403744054	0.183040933225	NEIL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5649702	0.142857142857143	NA	NA	0.0229403744054
Post-transcriptional silencing by small RNAs	Reactome	R-HSA-426496	1	7	0.0229403744054	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-426496	0.142857142857143	9	18	0.0263597148598
Generic Transcription Pathway	Reactome	R-HSA-212436	8	1193	0.0237140047951	0.183040933225	ATX3|AMID|MDC1|TIP|NR2E1|CTSL2|ROR1|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436	0.00670578373847443	5	12	0.0208042791919
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	Reactome	R-HSA-8939242	1	8	0.0257709918722	0.183040933225	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939242	0.125	10	34	0.0318988940625
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	Reactome	R-HSA-8948700	1	8	0.0257709918722	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948700	0.125	9	18	0.0263597148598
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	3	219	0.0269484378474	0.183040933225	TIP|SRF|TRRAP	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:10524%09red/hsa:8295%09red/hsa:6722%09red	0.0136986301369863	9	18	0.0263597148598
ECM-receptor interaction	KEGG PATHWAY	hsa04512	2	86	0.0270795892774	0.183040933225	COMP|LAMA3	http://www.genome.jp/kegg-bin/show_pathway?hsa04512/hsa:1311%09red/hsa:3909%09red	0.0232558139534884	10	34	0.0318988940625
Regulation of mRNA stability by proteins that bind AU-rich elements	Reactome	R-HSA-450531	2	86	0.0270795892774	0.183040933225	XRN1|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450531	0.0232558139534884	12	4	0.04204208058275
MAPK6/MAPK4 signaling	Reactome	R-HSA-5687128	2	88	0.0282263734865	0.183040933225	AGO2|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5687128	0.0227272727272727	9	18	0.0263597148598
Small interfering RNA (siRNA) biogenesis	Reactome	R-HSA-426486	1	9	0.0285934805485	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-426486	0.111111111111111	9	18	0.0263597148598
Regulation of PTEN mRNA translation	Reactome	R-HSA-8943723	1	9	0.0285934805485	0.183040933225	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943723	0.111111111111111	9	18	0.0263597148598
Chylomicron assembly	Reactome	R-HSA-8963888	1	9	0.0285934805485	0.183040933225	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963888	0.111111111111111	6	2	0.0229240703853
Collagen formation	Reactome	R-HSA-1474290	2	89	0.0288069952769	0.183040933225	LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474290	0.0224719101123595	10	34	0.0318988940625
Peptide hormone metabolism	Reactome	R-HSA-2980736	2	89	0.0288069952769	0.183040933225	NEP|MYRIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980736	0.0224719101123595	NA	NA	0.0229403744054
Interferon gamma signaling	Reactome	R-HSA-877300	2	90	0.0293923939306	0.183040933225	TRIM3|TRIM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300	0.0222222222222222	NA	NA	0.0229403744054
Formation of the beta-catenin:TCF transactivating complex	Reactome	R-HSA-201722	2	91	0.0299825374313	0.183040933225	TIP|TRRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201722	0.021978021978022	9	18	0.0263597148598
TCF dependent signaling in response to WNT	Reactome	R-HSA-201681	3	232	0.0311458334461	0.183040933225	TIP|RYK|TRRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201681	0.0129310344827586	9	18	0.0263597148598
MyD88 deficiency (TLR2/4)	Reactome	R-HSA-5602498	1	10	0.0314078635723	0.183040933225	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602498	0.1	10	34	0.0318988940625
Amoebiasis	KEGG PATHWAY	hsa05146	2	95	0.0323899245527	0.183040933225	LAMA3|HSPB1	http://www.genome.jp/kegg-bin/show_pathway?hsa05146/hsa:3315%09red/hsa:3909%09red	0.0210526315789474	10	34	0.0318988940625
G2/M DNA damage checkpoint	Reactome	R-HSA-69473	2	95	0.0323899245527	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69473	0.0210526315789474	5	12	0.0208042791919
Toll Like Receptor TLR6:TLR2 Cascade	Reactome	R-HSA-168188	2	95	0.0323899245527	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168188	0.0210526315789474	10	34	0.0318988940625
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	Reactome	R-HSA-166058	2	95	0.0323899245527	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166058	0.0210526315789474	10	34	0.0318988940625
Hematopoietic cell lineage	KEGG PATHWAY	hsa04640	2	97	0.0336212651918	0.183040933225	NEP|FCER2	http://www.genome.jp/kegg-bin/show_pathway?hsa04640/hsa:4311%09red/hsa:2208%09red	0.0206185567010309	11	3	0.0370124048866
Taurine and hypotaurine metabolism	KEGG PATHWAY	hsa00430	1	11	0.0342141640158	0.183040933225	GGT1	http://www.genome.jp/kegg-bin/show_pathway?hsa00430/hsa:2678%09red	0.0909090909090909	3	5	0.0136154470189
Regulation of gene expression by Hypoxia-inducible Factor	Reactome	R-HSA-1234158	1	11	0.0342141640158	0.183040933225	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234158	0.0909090909090909	8	2	0.02573441211895
Phenylalanine and tyrosine metabolism	Reactome	R-HSA-8963691	1	11	0.0342141640158	0.183040933225	HGD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963691	0.0909090909090909	7	2	0.02573441211895
Type I hemidesmosome assembly	Reactome	R-HSA-446107	1	11	0.0342141640158	0.183040933225	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446107	0.0909090909090909	10	34	0.0318988940625
IRAK4 deficiency (TLR2/4)	Reactome	R-HSA-5603041	1	11	0.0342141640158	0.183040933225	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603041	0.0909090909090909	10	34	0.0318988940625
Digestion of dietary carbohydrate	Reactome	R-HSA-189085	1	11	0.0342141640158	0.183040933225	MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-189085	0.0909090909090909	NA	NA	0.0229403744054
Endosomal/Vacuolar pathway	Reactome	R-HSA-1236977	1	11	0.0342141640158	0.183040933225	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236977	0.0909090909090909	10	34	0.0318988940625
Toll Like Receptor 2 (TLR2) Cascade	Reactome	R-HSA-181438	2	98	0.0342437380643	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-181438	0.0204081632653061	10	34	0.0318988940625
Toll Like Receptor TLR1:TLR2 Cascade	Reactome	R-HSA-168179	2	98	0.0342437380643	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168179	0.0204081632653061	10	34	0.0318988940625
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	2	98	0.0342437380643	0.183040933225	TLR6|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975	0.0204081632653061	10	34	0.0318988940625
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	2	98	0.0342437380643	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607	0.0204081632653061	5	12	0.0208042791919
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	6	836	0.0361025955247	0.186725503304	TBK1|FCER2|TIE2|TRIM3|TRIM2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215	0.00717703349282297	10	34	0.0318988940625
Josephin domain DUBs	Reactome	R-HSA-5689877	1	12	0.0370124048866	0.186725503304	ATX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689877	0.0833333333333333	NA	NA	0.0229403744054
NOTCH2 intracellular domain regulates transcription	Reactome	R-HSA-2197563	1	12	0.0370124048866	0.186725503304	FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2197563	0.0833333333333333	11	3	0.0370124048866
TICAM1-dependent activation of IRF3/IRF7	Reactome	R-HSA-9013973	1	12	0.0370124048866	0.186725503304	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013973	0.0833333333333333	10	34	0.0318988940625
Glutathione synthesis and recycling	Reactome	R-HSA-174403	1	12	0.0370124048866	0.186725503304	GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174403	0.0833333333333333	3	5	0.0136154470189
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	2	104	0.0380718735471	0.189936346918	TLR6|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:29110%09red/hsa:10333%09red	0.0192307692307692	10	34	0.0318988940625
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	hsa03008	2	105	0.0387251620017	0.190120973384	NVL|XRN1	http://www.genome.jp/kegg-bin/show_pathway?hsa03008/hsa:54464%09red/hsa:4931%09red	0.019047619047619	12	4	0.04204208058275
Non-homologous end-joining	KEGG PATHWAY	hsa03450	1	13	0.0398026091271	0.190120973384	PRKDC	http://www.genome.jp/kegg-bin/show_pathway?hsa03450/hsa:5591%09red	0.0769230769230769	10	34	0.0318988940625
Trafficking and processing of endosomal TLR	Reactome	R-HSA-1679131	1	13	0.0398026091271	0.190120973384	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1679131	0.0769230769230769	10	34	0.0318988940625
The activation of arylsulfatases	Reactome	R-HSA-1663150	1	13	0.0398026091271	0.190120973384	SUMF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1663150	0.0769230769230769	NA	NA	0.0229403744054
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	2	108	0.0407105966933	0.19241113595	ROR1|FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807	0.0185185185185185	11	3	0.0370124048866
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	Reactome	R-HSA-3656253	1	14	0.0425847996151	0.195107908441	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656253	0.0714285714285714	13	2	0.0425847996151
Defective EXT2 causes exostoses 2	Reactome	R-HSA-3656237	1	14	0.0425847996151	0.195107908441	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656237	0.0714285714285714	13	2	0.0425847996151
TRAF3-dependent IRF activation pathway	Reactome	R-HSA-918233	1	14	0.0425847996151	0.195107908441	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-918233	0.0714285714285714	10	34	0.0318988940625
Signaling by Rho GTPases	Reactome	R-HSA-194315	4	449	0.0430763484126	0.195366469063	OBSCN|FMNL3|HMHA1|SRF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315	0.0089086859688196	NA	NA	0.0229403744054
Glycosphingolipid biosynthesis - globo and isoglobo series	KEGG PATHWAY	hsa00603	1	15	0.0453589991638	0.19689507933	FUT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00603/hsa:2524%09red	0.0666666666666667	NA	NA	0.0229403744054
Anchoring fibril formation	Reactome	R-HSA-2214320	1	15	0.0453589991638	0.19689507933	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2214320	0.0666666666666667	10	34	0.0318988940625
mRNA decay by 5' to 3' exoribonuclease	Reactome	R-HSA-430039	1	15	0.0453589991638	0.19689507933	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-430039	0.0666666666666667	12	4	0.04204208058275
Regulation of innate immune responses to cytosolic DNA	Reactome	R-HSA-3134975	1	15	0.0453589991638	0.19689507933	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134975	0.0666666666666667	10	34	0.0318988940625
Metabolism of RNA	Reactome	R-HSA-8953854	5	667	0.0461897331371	0.19689507933	U2AF1|HSPB1|RRP5|EST1A|XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854	0.00749625187406297	12	4	0.04204208058275
Chromatin organization	Reactome	R-HSA-4839726	3	273	0.0464830254098	0.19689507933	TIP|TRRAP|SGF29	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726	0.010989010989011	9	18	0.0263597148598
