##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Type I hemidesmosome assembly	Reactome	R-HSA-446107	1	11	0.0342141640158	0.183040933225	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446107
IRAK4 deficiency (TLR2/4)	Reactome	R-HSA-5603041	1	11	0.0342141640158	0.183040933225	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603041
Digestion of dietary carbohydrate	Reactome	R-HSA-189085	1	11	0.0342141640158	0.183040933225	MGA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-189085
Endosomal/Vacuolar pathway	Reactome	R-HSA-1236977	1	11	0.0342141640158	0.183040933225	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236977
Toll Like Receptor 2 (TLR2) Cascade	Reactome	R-HSA-181438	2	98	0.0342437380643	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-181438
Toll Like Receptor TLR1:TLR2 Cascade	Reactome	R-HSA-168179	2	98	0.0342437380643	0.183040933225	TLR6|ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168179
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	2	98	0.0342437380643	0.183040933225	TLR6|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	2	98	0.0342437380643	0.183040933225	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	6	836	0.0361025955247	0.186725503304	TBK1|FCER2|TIE2|TRIM3|TRIM2|ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Josephin domain DUBs	Reactome	R-HSA-5689877	1	12	0.0370124048866	0.186725503304	ATX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689877
NOTCH2 intracellular domain regulates transcription	Reactome	R-HSA-2197563	1	12	0.0370124048866	0.186725503304	FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2197563
TICAM1-dependent activation of IRF3/IRF7	Reactome	R-HSA-9013973	1	12	0.0370124048866	0.186725503304	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013973
Glutathione synthesis and recycling	Reactome	R-HSA-174403	1	12	0.0370124048866	0.186725503304	GGT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174403
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	2	104	0.0380718735471	0.189936346918	TLR6|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:29110%09red/hsa:10333%09red
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	hsa03008	2	105	0.0387251620017	0.190120973384	NVL|XRN1	http://www.genome.jp/kegg-bin/show_pathway?hsa03008/hsa:54464%09red/hsa:4931%09red
Non-homologous end-joining	KEGG PATHWAY	hsa03450	1	13	0.0398026091271	0.190120973384	PRKDC	http://www.genome.jp/kegg-bin/show_pathway?hsa03450/hsa:5591%09red
Trafficking and processing of endosomal TLR	Reactome	R-HSA-1679131	1	13	0.0398026091271	0.190120973384	CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1679131
The activation of arylsulfatases	Reactome	R-HSA-1663150	1	13	0.0398026091271	0.190120973384	SUMF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1663150
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	2	108	0.0407105966933	0.19241113595	ROR1|FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	Reactome	R-HSA-3656253	1	14	0.0425847996151	0.195107908441	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656253
Defective EXT2 causes exostoses 2	Reactome	R-HSA-3656237	1	14	0.0425847996151	0.195107908441	EXT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656237
TRAF3-dependent IRF activation pathway	Reactome	R-HSA-918233	1	14	0.0425847996151	0.195107908441	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-918233
Signaling by Rho GTPases	Reactome	R-HSA-194315	4	449	0.0430763484126	0.195366469063	OBSCN|FMNL3|HMHA1|SRF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315
Glycosphingolipid biosynthesis - globo and isoglobo series	KEGG PATHWAY	hsa00603	1	15	0.0453589991638	0.19689507933	FUT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00603/hsa:2524%09red
Anchoring fibril formation	Reactome	R-HSA-2214320	1	15	0.0453589991638	0.19689507933	LAMA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2214320
mRNA decay by 5' to 3' exoribonuclease	Reactome	R-HSA-430039	1	15	0.0453589991638	0.19689507933	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-430039
Regulation of innate immune responses to cytosolic DNA	Reactome	R-HSA-3134975	1	15	0.0453589991638	0.19689507933	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134975
Metabolism of RNA	Reactome	R-HSA-8953854	5	667	0.0461897331371	0.19689507933	U2AF1|HSPB1|RRP5|EST1A|XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Chromatin organization	Reactome	R-HSA-4839726	3	273	0.0464830254098	0.19689507933	TIP|TRRAP|SGF29	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726
Chromatin modifying enzymes	Reactome	R-HSA-3247509	3	273	0.0464830254098	0.19689507933	TIP|TRRAP|SGF29	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509
Thiamine metabolism	KEGG PATHWAY	hsa00730	1	16	0.048125230522	0.19866694654	ADK2	http://www.genome.jp/kegg-bin/show_pathway?hsa00730/hsa:204%09red
MAPK family signaling cascades	Reactome	R-HSA-5683057	3	278	0.0485668035458	0.19866694654	TIE2|AGO2|HSPB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
SUMOylation of transcription factors	Reactome	R-HSA-3232118	1	17	0.0508835163745	0.19866694654	FOXL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232118
Plasma lipoprotein assembly	Reactome	R-HSA-8963898	1	17	0.0508835163745	0.19866694654	ABL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963898
Tie2 Signaling	Reactome	R-HSA-210993	1	17	0.0508835163745	0.19866694654	TIE2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210993
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	Reactome	R-HSA-450513	1	17	0.0508835163745	0.19866694654	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450513
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	Reactome	R-HSA-936964	1	17	0.0508835163745	0.19866694654	TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936964
Regulation of RUNX1 Expression and Activity	Reactome	R-HSA-8934593	1	17	0.0508835163745	0.19866694654	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8934593
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Reactome	R-HSA-450385	1	17	0.0508835163745	0.19866694654	XRN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450385
RORA activates gene expression	Reactome	R-HSA-1368082	1	18	0.0536338793418	0.204081456139	ROR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1368082
Lewis blood group biosynthesis	Reactome	R-HSA-9037629	1	18	0.0536338793418	0.204081456139	FUT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9037629
Metabolism of Angiotensinogen to Angiotensins	Reactome	R-HSA-2022377	1	18	0.0536338793418	0.204081456139	NEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022377
Signaling by Hippo	Reactome	R-HSA-2028269	1	19	0.0563763419807	0.207042086368	LATS1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2028269
Regulation of TLR by endogenous ligand	Reactome	R-HSA-5686938	1	19	0.0563763419807	0.207042086368	TLR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5686938
Deubiquitination	Reactome	R-HSA-5688426	3	296	0.0564404403701	0.207042086368	ATX3|NFRKB|TRRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5688426
Extracellular matrix organization	Reactome	R-HSA-1474244	3	298	0.0573506977719	0.207042086368	COMP|LAMA3|CTSL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	Reactome	R-HSA-5693567	2	132	0.0578873859907	0.207042086368	MDC1|TIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693567
