GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj	cluster
GO:0001953	negative regulation of cell-matrix adhes...	31	6	1.31	0.00120	G12687,G14840,G34,G34772,G35221,G4696	0.002036	2
GO:0010754	negative regulation of cGMP-mediated sig...	12	4	0.51	0.00121	G12442,G12687,G34772,G5548	0.002036	2
GO:0060764	cell-cell signaling involved in mammary ...	6	3	0.25	0.00138	G15849,G26717,G4743	0.002036	2
GO:0048539	bone marrow development	13	4	0.55	0.00168	G15849,G22027,G26717,G4743	0.002036	2
GO:2000353	positive regulation of endothelial cell ...	13	4	0.55	0.00168	G12687,G15222,G31976,G34772	0.002036	2
GO:1901355	response to rapamycin	4	3	0.17	0.00179	G1087,G22027,G24252	0.002036	2
GO:0001188	RNA polymerase I preinitiation complex a...	2	2	0.08	0.00179	G15715,G24763	0.002036	2
GO:0033135	regulation of peptidyl-serine phosphoryl...	174	7	7.38	0.00181	G15840,G16734,G21813,G270,G32416,G5580,G7026	0.002036	2
GO:0001678	intracellular glucose homeostasis	146	12	6.19	0.00225	G12442,G12568,G15069,G15849,G2001,G21349,G2664,G26717,G3364,G34,G3848,G4743	0.002393	2
GO:0016045	detection of bacterium	31	4	1.31	0.00234	G18132,G26574,G7771,G7772	0.002393	2
